"Buchholz's OCF","Madore's OCF"
"\psi(\Omega \cdot \psi(1) + \Omega)","\psi(\omega + 1)"
"\psi(\Omega \cdot \psi(1) + \Omega \cdot 2)","\psi(\omega + 2)"
"\psi(\Omega \cdot \psi(1) \cdot 2)","\psi(\omega \cdot 2)"
"\psi(\Omega \cdot \psi(2))","\psi(\omega^2)"
"\psi(\Omega \cdot \psi(\psi(1)))","\psi(\omega^\omega)"
"\psi(\Omega \cdot \psi(\psi(\psi(1))))","\psi(\omega^{\omega^\omega})"
"\psi(\Omega \cdot \psi(\Omega))","\psi(\psi(0))"
"\psi(\Omega \cdot \psi(\Omega) + \Omega)","\psi(\psi(0) + 1)"
"\psi(\Omega \cdot \psi(\Omega) \cdot 2)","\psi(\psi(0) \cdot 2)"
"\psi(\Omega \cdot \psi(\Omega + 1))","\psi(\psi(0) \cdot \omega)"
"\psi(\Omega \cdot \psi(\Omega + \psi(\Omega)))","\psi(\psi(0)^2)"
"\psi(\Omega \cdot \psi(\Omega \cdot 2))","\psi(\psi(1))"
"\psi(\Omega \cdot \psi(\Omega \cdot 3))","\psi(\psi(2))"
"\psi(\Omega \cdot \psi(\Omega \cdot \psi(1)))","\psi(\psi(\omega))"
"\psi(\Omega \cdot \psi(\Omega \cdot \psi(\Omega)))","\psi(\psi(\psi(0)))"
"\psi(\Omega^2)","\psi(\Omega)"
"\psi(\Omega^2) + \psi(1)","\psi(\Omega) + \omega"
"\psi(\Omega^2) + \psi(\Omega)","\psi(\Omega) + \psi(0)"
"\psi(\Omega^2) + \psi(\Omega \cdot \psi(\Omega))","\psi(\Omega) + \psi(\psi(0))"
"\psi(\Omega^2) \cdot 2","\psi(\Omega) \cdot 2"
"\psi(\Omega^2 + 1)","\psi(\Omega) \cdot \omega"
"\psi(\Omega^2 + \psi(\Omega))","\psi(\Omega) \cdot \psi(0)"
"\psi(\Omega^2 + \psi(\Omega \cdot \psi(\Omega)))","\psi(\Omega) \cdot \psi(\psi(0))"
"\psi(\Omega^2 + \psi(\Omega^2))","\psi(\Omega)^2"
"\psi(\Omega^2 + \psi(\Omega^2 + 1))","\psi(\Omega)^\omega"
"\psi(\Omega^2 + \psi(\Omega^2 + \psi(\Omega)))","\psi(\Omega)^{\psi(0)}"
"\psi(\Omega^2 + \psi(\Omega^2 + \psi(\Omega^2)))","\psi(\Omega)^{\psi(\Omega)}"
"\psi(\Omega^2 + \psi(\Omega^2 + \psi(\Omega^2 + \psi(\Omega^2))))","\psi(\Omega)^{\psi(\Omega)^{\psi(\Omega)}}"
"\psi(\Omega^2 + \Omega)","\psi(\Omega + 1)"
"\psi(\Omega^2 + \Omega + \psi(\Omega^2 + \Omega))","\psi(\Omega + 1)^2"
"\psi(\Omega^2 + \Omega + \psi(\Omega^2 + \Omega + \psi(\Omega^2 + \Omega)))","\psi(\Omega + 1)^{\psi(\Omega + 1)}"
"\psi(\Omega^2 + \Omega \cdot 2)","\psi(\Omega + 2)"
"\psi(\Omega^2 + \Omega \cdot 3)","\psi(\Omega + 3)"
"\psi(\Omega^2 + \Omega \cdot \omega)","\psi(\Omega + \omega)"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega))","\psi(\Omega + \psi(0))"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega \cdot \psi(\Omega)))","\psi(\Omega + \psi(\psi(0)))"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2))","\psi(\Omega + \psi(\Omega))"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2) \cdot 2)","\psi(\Omega + \psi(\Omega) \cdot 2)"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2 + 1))","\psi(\Omega + \psi(\Omega) \cdot \omega)"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2 + \psi(\Omega^2)))","\psi(\Omega + \psi(\Omega)^2)"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2 + \psi(\Omega^2 + \psi(\Omega^2))))","\psi(\Omega + \psi(\Omega)^{\psi(\Omega)})"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2 + \Omega))","\psi(\Omega + \psi(\Omega + 1))"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2 + \Omega \cdot \psi(\Omega)))","\psi(\Omega + \psi(\Omega + \psi(0)))"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2 + \Omega \cdot \psi(\Omega^2)))","\psi(\Omega + \psi(\Omega + \psi(\Omega)))"
"\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2 + \Omega \cdot \psi(\Omega^2 + \Omega)))","\psi(\Omega + \psi(\Omega + \psi(\Omega + 1)))"
"\psi(\Omega^2 \cdot 2)","\psi(\Omega \cdot 2)"
"\psi(\Omega^2 \cdot 2 + 1)","\psi(\Omega \cdot 2) \cdot \omega"
"\psi(\Omega^2 \cdot 2 + \psi(\Omega^2))","\psi(\Omega \cdot 2) \cdot \psi(\Omega)"
"\psi(\Omega^2 \cdot 2 + \psi(\Omega^2 \cdot 2))","\psi(\Omega \cdot 2)^2"
"\psi(\Omega^2 \cdot 2 + \psi(\Omega^2 \cdot 2 + \psi(\Omega^2 \cdot 2)))","\psi(\Omega \cdot 2)^{\psi(\Omega \cdot 2)}"
"\psi(\Omega^2 \cdot 2 + \Omega)","\psi(\Omega \cdot 2 + 1)"
"\psi(\Omega^2 \cdot 2 + \Omega \cdot \psi(\Omega^2))","\psi(\Omega \cdot 2 + \psi(\Omega + \psi(\Omega)))"
"\psi(\Omega^2 \cdot 2 + \Omega \cdot \psi(\Omega^2 \cdot 2))","\psi(\Omega \cdot 2 + \psi(\Omega \cdot 2))"
"\psi(\Omega^2 \cdot 2 + \Omega \cdot \psi(\Omega^2 \cdot 2 + \psi(\Omega^2 \cdot 2)))","\psi(\Omega \cdot 2 + \psi(\Omega \cdot 2)^2)"
"\psi(\Omega^2 \cdot 2 + \Omega \cdot \psi(\Omega^2 \cdot 2 + \Omega))","\psi(\Omega \cdot 2 + \psi(\Omega \cdot 2 + 1))"
"\psi(\Omega^2 \cdot 3)","\psi(\Omega \cdot 3)"
"\psi(\Omega^2 \cdot 3 + 1)","\psi(\Omega \cdot 3) \cdot \omega"
"\psi(\Omega^2 \cdot 3 + \Omega)","\psi(\Omega \cdot 3 + 1)"
"\psi(\Omega^2 \cdot 3 + \Omega \cdot \psi(\Omega^2 \cdot 3))","\psi(\Omega \cdot 3 + \psi(\Omega \cdot 3))"
"\psi(\Omega^2 \cdot 3 + \Omega \cdot \psi(\Omega^2 \cdot 3 + \Omega))","\psi(\Omega \cdot 3 + \psi(\Omega \cdot 3 + 1))"
"\psi(\Omega^2 \cdot 4)","\psi(\Omega \cdot 4)"
"\psi(\Omega^2 \cdot 5)","\psi(\Omega \cdot 5)"
"\psi(\Omega^2 \cdot \psi(1))","\psi(\Omega \cdot \omega)"
"\psi(\Omega^2 \cdot \psi(\Omega))","\psi(\Omega \cdot \psi(0))"
"\psi(\Omega^2 \cdot \psi(\Omega \cdot \psi(\Omega)))","\psi(\Omega \cdot \psi(\psi(0)))"
"\psi(\Omega^2 \cdot \psi(\Omega^2))","\psi(\Omega \cdot \psi(\Omega))"
"\psi(\Omega^2 \cdot \psi(\Omega^2 \cdot 2))","\psi(\Omega \cdot \psi(\Omega \cdot 2))"
"\psi(\Omega^2 \cdot \psi(\Omega^2 \cdot \psi(\Omega)))","\psi(\Omega \cdot \psi(\Omega \cdot \psi(0)))"
"\psi(\Omega^2 \cdot \psi(\Omega^2 \cdot \psi(\Omega^2)))","\psi(\Omega \cdot \psi(\Omega \cdot \psi(\Omega)))"
"\psi(\Omega^3)","\psi(\Omega^2)"
"\psi(\Omega^3 + 1)","\psi(\Omega^2) \cdot \omega"
"\psi(\Omega^3 + \psi(\Omega^3 + \psi(\Omega^3)))","\psi(\Omega^2)^{\psi(\Omega^2)}"
"\psi(\Omega^3 + \Omega)","\psi(\Omega^2 + 1)"
"\psi(\Omega^3 + \Omega \cdot \psi(\Omega^3))","\psi(\Omega^2 + \psi(\Omega^2))"
"\psi(\Omega^3 + \Omega \cdot \psi(\Omega^3 + \Omega \cdot \psi(\Omega^3)))","\psi(\Omega^2 + \psi(\Omega^2 + \psi(\Omega^2)))"
"\psi(\Omega^3 + \Omega^2)","\psi(\Omega^2 + \Omega)"
"\psi(\Omega^3 + \Omega^2 \cdot \psi(\Omega^3))","\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2))"
"\psi(\Omega^3 + \Omega^2 \cdot \psi(\Omega^3 + \Omega^2 \cdot \psi(\Omega^3)))","\psi(\Omega^2 + \Omega \cdot \psi(\Omega^2 + \Omega \cdot \psi(\Omega^2)))"
"\psi(\Omega^3 \cdot 2)","\psi(\Omega^2 \cdot 2)"
